Group No,Uniform Interval,Number of Servers
1,"[5.51, 6.16]",4
2,"[7.7, 8.31]",2
3,"[6.16, 7.25]",2
4,"[3.11, 3.93]",2
5,"[6.95, 7.74]",3
6,"[4.99, 5.7]",2
7,"[4.36, 5.32]",3
8,"[6.11, 6.9]",2
9,"[4.97, 5.65]",3
10,"[3.19, 3.83]",4
11,"[6.0, 6.9]",2
12,"[3.17, 4.17]",4
13,"[5.78, 6.72]",4
14,"[4.52, 5.49]",4
15,"[5.56, 6.73]",3
16,"[7.96, 9.01]",3
17,"[4.15, 5.11]",4
18,"[7.15, 7.84]",2
19,"[4.81, 5.93]",2
20,"[6.93, 8.03]",4
21,"[7.06, 8.17]",4
22,"[5.43, 6.46]",3
23,"[5.86, 6.57]",4
24,"[6.24, 7.03]",2
25,"[6.0, 6.74]",2
26,"[4.65, 5.63]",3
27,"[4.46, 5.6]",4
28,"[7.05, 7.73]",3
29,"[3.56, 4.7]",4
30,"[7.91, 8.68]",4
31,"[5.82, 6.76]",2
32,"[5.43, 6.43]",4
33,"[7.17, 7.77]",3
34,"[5.42, 6.16]",3
35,"[7.73, 8.8]",2
36,"[4.93, 5.71]",4
37,"[4.12, 5.19]",4
38,"[6.65, 7.5]",3
39,"[4.17, 5.37]",2
40,"[7.58, 8.51]",3
41,"[3.31, 4.42]",4
42,"[4.38, 5.25]",2
43,"[4.72, 5.59]",4
44,"[5.98, 7.13]",4
45,"[3.3, 4.47]",4
46,"[3.09, 4.28]",4
47,"[4.25, 5.28]",2
48,"[5.5, 6.29]",4
49,"[6.69, 7.81]",3
50,"[5.2, 6.07]",3
51,"[4.25, 4.87]",3
52,"[5.14, 5.92]",4
53,"[3.54, 4.44]",4
54,"[6.56, 7.33]",2
55,"[4.84, 5.99]",2
56,"[7.17, 8.32]",2
57,"[3.92, 4.93]",2
58,"[4.76, 5.57]",2
